ClientUUId,Id,OrderType,OrderPrice,Discount,apply_promo,add_to_cart_total_sum,apply_personal_offer_total_sum,close_app_total_sum,create_order_total_sum,open_app_total_sum,open_bonusaction_total_sum,open_product_card_total_sum,remove_from_cart_total_sum,screen_cart_total_sum,screen_menu_total_sum,screen_profile_total_sum,all_events_total_sum,event_days_total_sum,events_months_total_sum,promo_october_total_sum,applied_promo_total_once,money_spent_total_sum,unique_products_total_sum,order_type_1_total_sum,order_type_2_total_sum,order_type_3_total_sum,days_since_last_order,unique_categories_total_sum,promo_value,promo_usage_ratio_total_sum,order_state_4_total_sum,order_state_11_total_sum,device_diversity,unique_sector_total_sum,order_payment_type_0,order_payment_type_1,order_payment_type_2,AvgTimeBetweenOrders,orders_weekday_0_total_sum,orders_weekday_1_total_sum,orders_weekday_2_total_sum,orders_weekday_3_total_sum,orders_weekday_4_total_sum,orders_weekday_5_total_sum,orders_weekday_6_total_sum,max_order_value,avg_discount,DaysBetweenFirstAndLastOrder,promo_discount_total_sum,promo_usage_ratio_october,unique_pizzeria_total_sum,category_1_promo_used,category_2_promo_used,category_3_promo_used,category_4_promo_used,category_5_promo_used,category_6_promo_used,category_7_promo_used,night_orders,total_discount_amount,unique_visit_tokens
000D3A20F23EA95811E7B99F3ED09FC8,7,1,699,200,0,11.0,0.0,43.0,4.0,43.0,0.0,22.0,2.0,8.0,54.0,0.0,187.0,13.0,1.0,14,False,9179.0,24.0,20.0,0.0,13.0,2.0,5.0,0.2861230329041488,0.0,33.0,0.0,1.0,1.0,0.0,0.0,33.0,7.333333333333333,3.0,15.0,3.0,0.0,10.0,2.0,0.0,5039.0,30.442365033779073,66.0,1125,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,3021.0,25.0
000D3A20F23EA95811E7B99F3ED09FC8,6,1,1249,25,0,11.0,0.0,43.0,4.0,43.0,0.0,22.0,2.0,8.0,54.0,0.0,187.0,13.0,1.0,14,False,9179.0,24.0,20.0,0.0,13.0,2.0,5.0,0.020016012810248198,0.0,33.0,0.0,1.0,1.0,0.0,0.0,33.0,7.333333333333333,3.0,15.0,3.0,0.0,10.0,2.0,0.0,5039.0,30.442365033779073,66.0,1125,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,3021.0,25.0
000D3A20F23EA95811E7BD373E79565E,5,1,799,200,0,5.0,0.0,16.0,2.0,15.0,0.0,6.0,0.0,11.0,12.0,30.0,97.0,3.0,1.0,12,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2503128911138924,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
000D3A20F23EA95811E7BD373E79565E,5,1,1249,250,0,5.0,0.0,16.0,2.0,15.0,0.0,6.0,0.0,11.0,12.0,30.0,97.0,3.0,1.0,12,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.200160128102482,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0
000D3A20F23EA95811E7BDAE71CD3F33,6,1,699,30,0,9.0,0.0,19.0,3.0,21.0,0.0,12.0,1.0,11.0,16.0,11.0,103.0,4.0,1.0,18,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04291845493562232,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2410,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0
000D3A20F23EA95811E7BDAE71CD3F33,5,1,1249,250,0,9.0,0.0,19.0,3.0,21.0,0.0,12.0,1.0,11.0,16.0,11.0,103.0,4.0,1.0,18,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.200160128102482,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2410,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0
000D3A20F23EA95811E7BE56D78E3FFF,6,1,799,20,0,6.0,1.0,22.0,2.0,23.0,0.0,11.0,0.0,9.0,23.0,1.0,98.0,5.0,1.0,12,True,6439.0,13.0,18.0,0.0,1.0,18.0,5.0,0.025031289111389236,0.125,19.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,10.0,7.0,0.0,0.0,0.0,2.0,1227.0,9.053918362945504,147.0,1585,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,771.0000000000001,5.0
000D3A20F23EA95811E7BE56D78E3FFF,7,1,1249,250,0,6.0,1.0,22.0,2.0,23.0,0.0,11.0,0.0,9.0,23.0,1.0,98.0,5.0,1.0,12,True,6439.0,13.0,18.0,0.0,1.0,18.0,5.0,0.200160128102482,0.125,19.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,10.0,7.0,0.0,0.0,0.0,2.0,1227.0,9.053918362945504,147.0,1585,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,771.0000000000001,5.0
000D3A20F23EA95811E7BFD2A58E6B4F,6,1,799,20,0,19.0,3.0,31.0,2.0,30.0,3.0,4.0,3.0,23.0,29.0,20.0,167.0,2.0,1.0,16,True,6810.0,25.0,76.0,0.0,7.0,3.0,6.0,0.025031289111389236,0.7,63.0,20.0,1.0,1.0,0.0,0.0,83.0,17.444444444444443,14.0,0.0,28.0,0.0,7.0,9.0,25.0,1084.0,36.64293761283481,157.0,2170,1.0,1.0,0.0,4.0,24.0,20.0,11.0,7.0,0.0,83.0,3784.0,5.0
000D3A20F23EA95811E7BFD2A58E6B4F,7,1,999,150,0,19.0,3.0,31.0,2.0,30.0,3.0,4.0,3.0,23.0,29.0,20.0,167.0,2.0,1.0,16,True,6810.0,25.0,76.0,0.0,7.0,3.0,6.0,0.15015015015015015,0.7,63.0,20.0,1.0,1.0,0.0,0.0,83.0,17.444444444444443,14.0,0.0,28.0,0.0,7.0,9.0,25.0,1084.0,36.64293761283481,157.0,2170,1.0,1.0,0.0,4.0,24.0,20.0,11.0,7.0,0.0,83.0,3784.0,5.0
